State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
Rajasthan,Jodhpur,0,0,0,66.07,150.97,2284.95,34.49,20.03,580.7,0,0,0,34.49,20.03,580.7,421.94,420.02,995.45,0,0.01,2000,0,0,0,0.36,1.2,3323.2,19.37,28.3,1460.69,0,0,0,412.02,237.07,575.39,129.42,241.97,1869.62,21.04,9.11,432.88,149.41,196.46,1314.89,0,0,0,24.76,12.32,497.86,0.01,0.01,714.29,0,0,0,0,0,0,0,0,0,0,0,0,46.71,3.86,82.54,0.38,25.32,25.7,0.02,20.17,201.49
Rajasthan,Kota,39.05,108.62,2781.65,236.24,1037.57,4392.07,1.36,1.57,1156.96,0,0,0,1.36,1.57,1156.96,0.59,0.52,880.27,24.29,71.27,2933.96,0,0,0,0.53,1.77,3323.31,122.44,208.42,1702.24,0.02,0.01,875,239.87,198.15,826.05,1.41,2.76,1953.22,1.64,0.64,392.79,101.2,197.69,1953.55,0,0,0,0,0,0,0.6,0.77,1286.91,0,0,0,275.06,360.36,1310.09,0,0,0,0.01,0.06,7044.44,0,0,90,0.54,3.12,3.66,0.23,0.07,2.94
Rajasthan,Nagaur,0,0,0,53.68,142.53,2655.38,27.72,13.75,496.09,0,0,0,27.72,13.75,496.09,307.54,281.7,915.98,0.02,0.05,2045.45,0,0,0,7.7,20.32,2637.63,18.94,21.02,1110.14,0,0,0,698.55,344.28,492.85,17.59,30.94,1758.23,7.03,1.66,236.1,45.03,53.59,1190.09,0,0,0,0.03,0.04,1121.21,0.8,0.86,1064.76,0,0,0,0,0,0,0,0,0,0,0,0,53.73,4.17,77.61,0.38,10.58,10.96,0.01,8.48,97.22
Rajasthan,Pali,0,0,0,82.07,216.51,2638.02,69.68,21.82,313.11,0,0,0,69.68,21.82,313.11,35.42,15.81,446.41,12.78,9.59,750.67,0,0,0,4.83,13.49,2791.6,100.02,136.6,1365.76,0.06,0.03,508.2,297.86,68.75,230.8,0.94,0.89,945.86,64.16,12.5,194.79,47.78,53.14,1112.16,0,0,0,2.55,1.31,514.93,0.01,0.01,1000,0,0,0,0.01,0.02,1214.29,0,0,0,0,0,0,14.38,1.44,100.09,0.6,1.36,1.96,0.03,0.11,35.55
Rajasthan,Swami Madhopur,2.87,5.1,1773.14,139.69,571.31,4089.7,1.04,0.61,583.33,0,0,0,1.04,0.61,583.33,194.33,370.76,1907.93,0.38,0.78,2028.65,0,0,0,0.64,2.13,3323.44,39.84,62.16,1560.47,0.25,0.25,992,73.01,25.42,348.18,2.64,3.1,1171.9,40.06,16.82,419.98,170.36,303.01,1778.6,0,0,0,0,0,0,0.01,0,571.43,0,0,0,5.05,5.58,1106.2,0,0,0,0.02,0.12,5920,0.01,0,112.5,0.26,2.15,2.41,0.05,0.15,8.49
Rajasthan,Sikar,0,0,0,86.08,285.83,3320.37,0,0,0,0,0,0,0,0,0,271.3,208.18,767.36,0,0,2000,0,0,0,25.7,83.15,3235.79,35.81,42.91,1198.26,0,0,0,83.1,36.78,442.67,22.54,50.07,2221.12,0.44,0.12,270.02,33.02,40.66,1231.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.11,7033.33,0.02,0,104.21,0.47,15.41,15.88,0,12.28,99.79
Rajasthan,Sirohi,0,0,0,22.24,66.37,2984.58,6.91,0,0,0,0,0,6.91,0,0,16.61,0.01,0.84,20.42,0.86,41.91,0,0,0,0.6,1.98,3323.83,2.73,2.66,973.64,0.06,0,0,14.2,0.64,44.94,17.64,0,0,24.1,0.04,1.66,11.71,12.27,1048.61,0,0,0,34.88,17.04,488.62,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,2.9,0.29,99.14,0.56,2.17,2.74,0.29,0,32.07
Rajasthan,Tonk,0,0,2500,45.84,152.77,3332.6,52.43,26.63,507.94,0,0,0,52.43,26.63,507.94,41.81,63.86,1527.54,7.32,32.18,4396.04,0,0,0,4.05,10.56,2607.35,101.37,107.96,1064.95,0,0,0,190.46,122.58,643.61,11.69,11.33,968.96,7.36,3.21,436.94,186.64,296.76,1590.01,0,0,0,0.01,0.01,533.33,0.01,0,833.33,0,0,0,0.12,0.14,1206.9,0,0,0,0.02,0.09,4535,0.97,0.13,137.14,0.55,3.27,3.83,0.06,0.14,11.7
Rajasthan,Udaipur,5.51,6.68,1210.68,137.2,417.14,3040.36,15.75,21.77,1382.28,0,0,0,15.75,21.77,1382.28,0.36,0.31,883.67,240.94,393.49,1633.17,0,0,0,17.41,44.55,2558.27,16.68,20.22,1212.74,2.71,3.21,1185.15,16.38,10.59,646.54,2.96,4.08,1378.93,2.71,0.73,269.41,12.56,13.71,1091.15,0,0,0,0.07,0.07,985.84,0.71,0.85,1194.98,0,0,0,63.58,70.45,1107.95,0,0,0,0.53,3.42,6400.37,5.83,0.57,98.43,0.28,2.25,2.53,0.04,0.22,34.49
Punjab,Gurdaspur,204,729,3573.53,226,1041,4606.19,0,0,0,0,0,0,0,0,0,0,0,0,9,21,2333.33,0,0,0,0,0,0,0.1,0.1,1000,0,0,0,1.6,1.6,1000,0,0,0,0.5,0.2,400,2.8,3.8,1357.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,218.7,8411.54,0,0,0,1.87,2.22,4.09,0,0,28.06
