District,Growth,Sex_Ratio,Literacy,Population
Dewas,0.2,942,69.35,1563715
Rajgarh,0.23,956,61.21,1545814
Shajapur,0.17,938,69.09,1512681
Vidisha,0.2,896,70.53,1458875
Ratlam,0.2,971,66.78,1455069
Tikamgarh,0.2,901,61.43,1445166
Barwani,0.28,982,49.08,1385881
Seoni,0.18,982,72.12,1379131
Mandsaur,0.13,963,71.78,1340411
Raisen,0.18,901,72.98,1331597
Sehore,0.22,918,70.06,1311332
East Nimar,0.22,943,66.39,#N/A
Katni,0.21,952,71.98,1292042
Damoh,0.17,910,69.73,1264219
Guna,0.27,912,63.23,1241519
Hoshangabad,0.14,914,75.29,1241350
Singrauli,0.28,920,60.41,1178273
Sidhi,0.24,957,64.43,1127033
Narsimhapur,0.14,920,75.69,1091854
Shahdol,0.17,974,66.67,1066063
Mandla,0.18,1008,66.87,1054905
Jhabua,0.31,990,43.3,1025048
Panna,0.19,905,64.79,1016520
Ashoknagar,0.23,904,66.42,845071
Neemuch,0.14,954,70.8,826067
Datia,0.18,873,72.63,786754
Burhanpur,0.19,951,64.36,757847
Anuppur,0.12,976,67.88,749237
Alirajpur,0.19,1011,36.1,728999
Dindori,0.21,1002,63.9,704524
Sheopur,0.23,901,57.43,687861
Umaria,0.25,950,65.89,644758
Harda,0.2,935,72.5,570465
Thane,0.36,886,84.53,11060148
Pune,0.3,915,86.15,9429408
Mumbai Suburban,0.08,860,89.91,9356962
Nashik,0.22,934,82.31,6107187
Nagpur,0.14,951,88.39,4653570
Ahmadnagar,0.12,939,79.05,4543159
Solapur,0.12,938,77.02,4317756
Jalgaon,0.15,925,78.2,4229917
Kolhapur,0.1,957,81.51,3876001
Aurangabad,0.28,923,79.02,2540073
Nanded,0.17,943,75.45,3361292
Mumbai City,-0.08,832,89.21,#N/A
Satara,0.07,988,82.87,3003741
Amravati,0.11,951,87.38,2888445
Sangli,0.09,966,81.48,2822143
Yavatmal,0.13,952,82.82,2772348
Raigarh,0.19,959,83.14,1493984
Buldana,0.16,934,83.4,2586258
Bid,0.2,916,76.99,2585049
Latur,0.18,928,77.26,2454196
Chandrapur,0.06,961,80.01,2204307
Dhule,0.2,946,72.8,2050862
Jalna,0.21,937,71.52,1959046
Parbhani,0.2,947,73.34,1836086
Akola,0.11,946,88.05,1813906
Osmanabad,0.12,924,78.44,1657576
Nandurbar,0.26,978,64.38,1648295
Ratnagiri,-0.05,1122,82.18,1615069
Gondiya,0.1,999,84.95,1322507
Wardha,0.05,946,86.99,1300774
Bhandara,0.06,982,83.76,1200334
Washim,0.17,930,83.25,1197160
Hingoli,0.19,942,78.17,1177345
Gadchiroli,0.11,982,74.36,1072942
Sindhudurg,-0.02,1036,85.56,849651
Imphal West,0.17,1031,86.08,517992
Senapati,0.69,937,63.6,479148
Imphal East,0.16,1017,81.95,456113
Thoubal,0.16,1002,74.47,422168
Churachandpur,0.2,975,82.78,274143
Bishnupur,0.14,999,75.85,237399
Ukhrul,0.31,943,81.35,183998
Chandel,0.22,933,71.11,144182
Tamenglong,0.26,943,70.05,140651
East Khasi Hills,0.25,1011,84.15,825922
West Garo Hills,0.24,984,67.58,643291
Jaintia Hills,0.32,1013,61.64,395124
West Khasi Hills,0.3,980,77.87,383461
East Garo Hills,0.27,972,73.95,317917
Ri Bhoi,0.34,953,75.67,#N/A
South Garo Hills,0.41,945,71.72,142334
Aizawl,0.23,1009,97.89,400309
Lunglei,0.18,947,88.86,161428
Champhai,0.16,984,95.91,125745
Lawngtlai,0.6,945,65.88,117894
Mamit,0.38,927,84.93,86364
Kolasib,0.27,956,93.5,83955
Serchhip,0.21,977,97.91,64937
Saiha,-0.07,979,90.01,56574
Dimapur,1.27,919,84.79,378811
Kohima,1.32,928,85.23,267988
Mon,0.8,899,56.99,250260
Tuensang,0.95,929,73.08,196596
Mokokchung,0.61,925,91.62,194622
Wokha,0.99,968,87.69,166343
Phek,1.12,951,78.05,163418
Zunheboto,0.78,976,85.26,140757
Peren,1.04,915,77.95,95219
Kiphire,0.39,956,69.54,74004
Longleng,-0.22,905,72.17,50484
Ganjam,0.12,983,71.09,3529031
Cuttack,0.12,940,85.5,2624470
Mayurbhanj,0.13,1006,63.17,2519738
Baleshwar,0.15,957,79.79,2320529
Khordha,0.2,929,86.88,2251673
Sundargarh,0.14,973,73.34,2093437
Jajapur,0.12,973,80.13,1827192
Kendujhar,0.15,988,68.24,1801733
Puri,0.13,963,84.67,1698730
Balangir,0.23,987,64.72,1648997
Kalahandi,0.18,1003,59.22,1576869
Bhadrak,0.13,981,82.78,1506337
Bargarh,0.1,977,74.62,1481255
Kendrapara,0.11,1007,85.15,1440361
Koraput,0.17,1032,49.21,1379647
Anugul,0.12,943,77.53,1273821
Nabarangapur,0.19,1019,46.43,1220946
Dhenkanal,0.12,947,78.76,1192811
Jagatsinghapur,0.08,968,86.59,1136971
Sambalpur,0.11,976,76.22,1041099
Rayagada,0.16,1051,49.76,967911
Nayagarh,0.11,915,80.42,962789
Kandhamal,0.13,1037,64.13,733110
Malkangiri,0.22,1020,48.54,613192
Nuapada,0.15,1021,57.35,610382
Subarnapur,0.13,960,74.42,610183
Jharsuguda,0.14,953,78.86,579505
Gajapati,0.11,1043,53.49,577817
Baudh,0.18,991,71.61,441162
Debagarh,0.14,975,72.57,312520
Puducherry,0.29,1029,85.44,950289
Karaikal,0.17,1047,87.05,200222
Yanam,0.77,1038,79.47,55626
Mahe,0.14,1184,97.87,41816
Ludhiana,0.15,873,82.2,3498739
Amritsar,0.15,889,76.27,2490656
Gurdaspur,0.09,895,79.95,2298323
Jalandhar,0.12,915,82.48,2193590
Firozpur,0.16,893,68.92,2029074
Patiala,0.2,891,75.28,1895686
Sangrur,0.12,885,67.99,1655169
Hoshiarpur,0.07,961,84.59,1586625
Bathinda,0.17,868,68.28,1388525
Tarn Taran,0.19,900,67.81,1119627
Moga,0.11,893,70.68,995746
Mohali,0.33,879,83.8,#N/A
Muktsar,0.16,896,65.81,901896
Kapurthala,0.08,912,79.07,815168
Mansa,0.12,883,61.83,769751
Rupnagar,0.09,915,82.19,684627
Faridkot,0.12,890,69.55,617508
Shahid Bhagat Singh Nagar,0.04,954,79.78,612310
Fatehgarh Sahib,0.11,871,79.35,600163
Barnala,0.13,876,67.82,595527
Jaipur,0.26,910,75.51,6626178
Jodhpur,0.28,916,65.94,3687165
Alwar,0.23,895,70.72,3674179
Nagaur,0.19,950,62.8,3307743
Udaipur,0.24,958,61.82,3068420
Sikar,0.17,947,71.91,2677333
Barmer,0.33,902,56.53,2603751
Ajmer,0.18,951,69.33,2583052
Bharatpur,0.21,880,70.11,2548462
Bhilwara,0.2,973,61.37,2408523
Bikaner,0.41,905,65.13,2363937
Jhunjhunun,0.12,950,74.13,2137045
Churu,0.06,940,66.75,2039547
Pali,0.12,987,62.39,2037573
Ganganagar,0.1,887,69.64,1969168
Kota,0.24,911,76.56,1951014
Jalor,0.26,952,54.86,1828730
Banswara,0.27,980,56.33,1797485
Hanumangarh,0.17,906,67.13,1774692
Dausa,0.24,905,68.16,1634409
Chittaurgarh,0.16,972,61.71,1544338
Karauli,0.21,861,66.22,1458248
Tonk,0.17,952,61.58,1421326
Jhalawar,0.2,946,61.5,1411129
Dungarpur,0.25,994,59.46,1388552
Sawai Madhopur,0.2,897,65.39,1335551
Baran,0.2,929,66.66,1222755
Dhaulpur,0.23,846,69.08,1206516
Rajsamand,0.17,990,63.14,1156597
Bundi,0.15,925,61.52,1110906
Sirohi,0.22,940,55.25,1036346
Pratapgarh,0.23,983,55.97,867848
Jaisalmer,0.32,852,57.22,669919
East Sikkim,0.16,873,83.85,#N/A
South Sikkim,0.12,915,81.42,#N/A
