STATE/UT,DISTRICT,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs
Jammu & Kashmir,AWANTIPORA,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,AZAMGARH,2,4,9,0,0,1,11,0,0,80
Uttar Pradesh,BADAUN,5,5,4,0,0,0,11,0,0,36
Himachal Pradesh,BADDIPOLICEDIST,0,0,0,0,0,0,0,0,0,0
Bihar,BAGAHA,0,1,0,0,0,3,0,105,0,0
Karnataka,BAGALKOT,2,5,0,1,0,0,8,43,0,35
Uttarakhand,BAGESHWAR,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,BAGHPAT,1,1,2,0,0,0,1,0,0,15
Uttar Pradesh,BAHRAICH,0,4,0,0,0,0,0,166,0,0
Assam,BAKSA,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,BALAGHAT,0,5,0,0,0,0,8,0,0,19
Odisha,BALASORE,1,9,5,0,0,0,112,159,0,0
Uttar Pradesh,BALLIA,3,3,5,0,0,1,1,31,0,50
Chhattisgarh,BALOD,0,0,0,0,0,0,0,1,0,4
Chhattisgarh,BALODA BAZAR,1,2,1,0,0,0,3,0,0,8
Chhattisgarh,BALRAMPUR,0,1,0,0,0,0,1,0,0,1
Uttar Pradesh,BALRAMPUR,1,1,2,0,0,0,1,39,0,0
Uttar Pradesh,BANDA,4,9,7,0,0,1,6,62,0,95
Jammu & Kashmir,BANDIPORA,0,0,0,0,0,0,0,0,0,0
Karnataka,BANGALORE COMMR.,2,2,0,0,0,0,10,128,1,3
Karnataka,BANGALORE RURAL,3,6,2,0,0,0,37,70,0,22
Bihar,BANKA,2,1,0,0,0,0,0,106,0,0
West Bengal,BANKURA,0,0,0,0,0,0,0,0,0,4
Rajasthan,BANSWARA,0,1,0,0,0,0,0,1,0,12
Uttar Pradesh,BARABANKI,2,7,0,0,0,1,0,0,0,185
Odisha,BARAGARH,0,2,0,0,0,0,21,42,0,0
Jammu & Kashmir,BARAMULLA,0,0,0,0,0,0,0,0,0,0
Rajasthan,BARAN,0,4,6,0,0,0,8,3,0,83
Uttar Pradesh,BAREILLY,5,13,19,0,0,1,3,66,0,83
Rajasthan,BARMER,2,2,0,0,0,2,0,0,0,177
Punjab,BARNALA,0,0,0,0,0,0,2,0,0,1
Assam,BARPETA,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,BARWANI,0,2,1,0,0,0,3,0,0,4
Uttar Pradesh,BASTI,0,4,3,0,0,0,1,0,0,52
Punjab,BATALA,0,2,0,0,0,0,1,0,0,0
West Bengal,BDN CP,0,0,0,0,0,0,0,0,0,0
Maharashtra,BEED,1,11,0,0,2,0,7,1,0,61
Bihar,BEGUSARAI,0,0,0,0,0,0,2,311,0,0
Karnataka,BELGAUM,1,4,0,0,0,0,0,50,0,0
Karnataka,BELLARY,0,0,0,0,0,0,0,36,1,0
Chhattisgarh,BEMETARA,0,1,0,0,0,0,0,0,0,1
Odisha,BERHAMPUR,0,5,0,1,0,0,0,30,0,0
Bihar,BETTIAH,0,1,0,0,0,3,11,138,0,30
Madhya Pradesh,BETUL,3,6,1,0,0,0,26,0,0,22
Bihar,BHABHUA,2,1,0,0,0,1,26,51,0,0
Odisha,BHADRAK,0,4,0,0,0,1,15,129,0,0
Bihar,BHAGALPUR,1,4,0,0,0,1,4,132,0,0
Maharashtra,BHANDARA,2,5,0,0,0,0,1,2,0,14
Rajasthan,BHARATPUR,1,10,0,0,0,4,5,2,0,467
Gujarat,BHARUCH,0,0,1,0,0,0,1,11,0,2
Punjab,BHATINDA,0,1,0,0,0,0,1,1,0,2
Gujarat,BHAVNAGAR,0,3,4,1,3,1,8,15,0,51
Rajasthan,BHILWARA,0,3,0,0,0,1,0,5,0,154
Madhya Pradesh,BHIND,1,7,0,0,0,0,7,0,0,18
Haryana,BHIWANI,3,14,4,0,0,0,1,1,0,21
